"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Frosinone","Frosinone","Biblioteca S. Alfonso","Specializzata","Redentoristi. Collegio di Frosinone",,,"Via S. Lorenzo 82",,"03100","41.6417629","13.3590797","+39 0775250728","+39 0775835597","bibliosantanfolso@libero.it",
"Giuliano di Roma","Frosinone","Biblioteca comunale","Pubblica","Comune di Giuliano di Roma","OBR","Sistema bibliotecario Valle del Sacco","Via XXIII maggio",,"03020","41.5407962","13.2804814","+39 0775699051","+39 0775699689","bibgln@libero.it",
"Morolo","Frosinone","Biblioteca comunale","Pubblica","Comune di Morolo","OBR","Sistema bibliotecario Valle del Sacco","Via le Grotte",,"03017","41.6424269","13.1855702","+39 0775806007","+39 0775806007","biblioteca.morolo@libero.it","http://www.morolo.net"
"Paliano","Frosinone","Biblioteca comunale","Pubblica","Comune di Paliano","OBR","Sistema bibliotecario Valle del Sacco","Via del Pontone",,"03018","41.7916601","13.0596043","+39 0775571041","+39 0775571041","biblioteca@comune.paliano.fr.it","http://www.bibliotechevalledelsacco.it/biblioteche/paliano.aspx"
"Patrica","Frosinone","Biblioteca comunale","Pubblica","Comune di Patrica",,,"Via G. Vitelli 12",,"03010","41.591922","13.2449793","+39 0775222555",,"biblio.patrica@libero.it",
"Pico","Frosinone","Biblioteca comunale Luigi Fraioli","Pubblica","Comune di Pico",,,"Via Umberto I",,"03020","41.4514752","13.5590479",,,,
"Piedimonte San Germano","Frosinone","Biblioteca comunale","Pubblica","Comune di Piedimonte San Germano",,,"Viale Decorato 46",,"03040","41.4986976","13.7608714","+39 0776404745",,"biblioteca.roccia@libero.it",
"Pignataro Interamna","Frosinone","Biblioteca comunale","Pubblica","Comune di Pignataro Interamna","OBR","Sistema bibliotecario Valle dei santi","Via S. Maria",,"03040","41.440673","13.783716","+39 0776949012","+39 0776949306",,
"Pofi","Frosinone","Biblioteca comunale","Pubblica","Comune di Pofi","OBR","Sistema bibliotecario Valle del Sacco","Via S. Giorgio",,"03026","41.5681227","13.4154557","+39 0775380069","+39 0775380069","biblio.pofi@virgilio.it",
"San Giorgio a Liri","Frosinone","Biblioteca comunale","Pubblica","Comune di San Giorgio a Liri","OBR","Sistema bibliotecario Valle dei santi","Via Roma",,"03047","41.405754","13.7669087","+39 0776910121","+39 0776913352","biblioteca.roccia@libero.it",
"Sant'Andrea del Garigliano","Frosinone","Biblioteca comunale","Pubblica","Comune di Sant'Andrea del Garigliano","OBR","Sistema bibliotecario Valle dei santi","Via Salomone",,"03040","41.3656045","13.8419685","+39 0776956021","+39 0776956501","biblioteca@comune.santandreadelgarigliano.it",
"Sant'Apollinare","Frosinone","Biblioteca comunale","Pubblica","Comune di Sant'Apollinare","OBR","Sistema bibliotecario Valle dei santi","Piazza municipio 2",,"03048","41.4017748","13.8309058","+39 0776915036","+39 0776915604",,
"Strangolagalli","Frosinone","Biblioteca comunale","Pubblica","Comune di Strangolagalli","OBR",,"Viale Municipio 5",,"03020","41.6011142","13.491859","+39 0775978204",,"biblioteca@comune.strangolagalli.it",
"Supino","Frosinone","Biblioteca comunale","Pubblica","Comune di Supino",,,"Via d'Italia",,"03019","41.60723","13.216195","+39 0775227668",,"biblio.supino@virgilio.it",
"Terelle","Frosinone","Biblioteca comunale","Pubblica","Comune di Terelle",,,"Piazza V. Crolla 2",,"03040","41.5535767","13.7789539","+39 0776336013",,,
"Vallecorsa","Frosinone","Biblioteca comunale","Pubblica","Comune di Vallecorsa","OBR","Sistema bibliotecario Valle del Sacco","Via Roma 406",,"03020","41.4445785","13.4039793","+39 0775679884","+39 0775679867","biblio.vallecorsa@libero.it",
"Vallemaio","Frosinone","Biblioteca comunale","Pubblica","Comune di Vallemaio",,,"Via martiri civili 13",,"03040","41.3663179","13.8111924","+39 0776957123","+39 0776957314","comvallemaio@virgilio.it",
"Veroli","Frosinone","Biblioteca Giovardiana","Specializzata","Comune di Veroli","OBR","Sistema bibliotecario Valle del Sacco","Largo C. Baronio 1",,"03029","41.6423978","13.4735579","+39 0775238254","+39 077582025","giovardiana@libero.it","http://digilander.libero.it/pagnes/biblioteca_giovardiana.html"
"Veroli","Frosinone","Biblioteca Statale del Monumento Nazionale di Casamari","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Monumento nazionale di Casamari",,,"Via  Maria 25","Casamari","03020","41.6714195","13.0596043","+39 0775283430","+39 0775281020","bmn-cas@beniculturali.it",
"Villa Santo Stefano","Frosinone","Biblioteca comunale","Pubblica","Comune di Villa Santo Stefano","OBR","Sistema bibliotecario Valle del Sacco","Piazza cardinal D. Iorio",,"03020","41.518391","13.3113624",,,,
"Ferentino","Frosinone","Biblioteca Alfonso Giorgi","Specializzata","Famiglia Pio Roffi Isabelli",,,"Via Consolare 160",,"03013","41.69384","13.258475","+39 0775245809",,,
"Ferentino","Frosinone","Biblioteca comunale","Pubblica","Comune di Ferentino","OBR","Sistema bibliotecario Valle del Sacco","Via S. M. C.  Troiani",,"03013","41.692647","13.254929","+39 0775246401","+39 0775246401","fermentino@bibliotechevalledelsacco.it","http://biblioteche.caspur.it/cgi-bin/BIBLIO_scheda.pl?id_biblioteca=RMSE211"
"Anagni","Frosinone","Biblioteca Giuseppe Marchetti Longhi","Specializzata","Istituto di storia e di arte del Lazio meridionale - ISALM. Centro di Anagni",,,"Palazzo Bonifacio VIII",,"03012","41.743065","13.15991","+39 0775739178","+39 0775733191","isalm@bibliotechevalledelsacco.it","http://www.isalm.it/biblio.htm"
"Frosinone","Frosinone","Biblioteca di scienze religiose monsignor Michele Federici","Specializzata","Curia vescovile di Frosinone",,,"Via dei Monti Lepini 51",,"03100","41.642549","13.333085","+39 0775290973",,,
"Cassino","Frosinone","Biblioteca statale del Monumento nazionale di Montecassino","Importante non specializzata","Ministero dei beni e delle attività culturali e del turismo. Monumento nazionale di Montecassino",,,"Via Montecassino",,"03043","41.4892853","13.8194435","+39 0776311529","+39 0776312393","bmn-mnc@beniculturali.it","http://www.montecassino.it"
"Cassino","Frosinone","Biblioteca comunale Pietro Malatesta","Pubblica","Comune di Cassino",,,"Via del Carmine",,"03043","41.4903712","13.8309363","+39 0776326004",,,
"Cassino","Frosinone","Biblioteca monastica","Specializzata","Benedettini cassinesi. Abbazia di Montecassino",,,"Via Montecassino",,"03043","41.4892853","13.8194435","+39 0776311529","+39 0776312393",,
"Sora","Frosinone","Biblioteca del Centro di studi sorani Vincenzo Patriarca","Specializzata","Centro di studi sorani Vincenzo Patriarca",,,"Via C. Lauri",,"03039","41.7220714","13.6139512","+39 0776833793",,,
"Frosinone","Frosinone","Biblioteche associate comunale e provinciale Alberto Bragaglia","Importante non specializzata","Associazione per la gestione delle biblioteche comunali e provinciali di Frosinone","OBR",,"Via M. de Mattias 12",,"03100","41.6288129","13.3304393","+39 0775203252","+39 0775830087","bibliofr@libero.it","http://biblioteche.caspur.it/cgi-bin/BIBLIO_scheda.pl?id_biblioteca=RMSB211"
"Acuto","Frosinone","Biblioteca comunale","Pubblica","Comune di Acuto","OBR","Sistema bibliotecario Valle del Sacco","Viale Germini",,"03010","41.7928736","13.1736942","+39 0775557020",,"comuneacuto.biblio@libero.it","http://www.bibliotechevalledelsacco.it/biblioteche.php?bibId=25"
"Anagni","Frosinone","Biblioteca comunale Antonio Labriola","Pubblica","Comune di Anagni","OBR","Sistema bibliotecario Valle del Sacco","Via Garibaldi 21",,"03012","41.7420292","13.1563853","+39 0775730487","+39 0775730430","anagni@bibliotechevalledelsacco.it","http://www.bibliotechevalledelsacco.it/biblioteche.php?bibId=1"
"Cassino","Frosinone","Centro Servizi Bibliotecari di Area Giuridico-Economica","Istituto di insegnamento superiore","Università degli studi di Cassino e del Lazio Meridionale",,,"via S. Angelo in Th., snc","Campus Folcara","03043","41.47574058","13.82878304",,,,
"Cassino","Frosinone","Centro Servizi Bibliotecari di Area Ingegneristica","Istituto di insegnamento superiore","Università degli studi di Cassino. Dipartimento di ingegneria industriale",,,"Via Gaetano Di Biasio, 43",,"03043","41.48808644","13.82582188","+39 07762993603","+39 07762993726",,
"Sora","Frosinone","Biblioteca diocesana cardinal Cesare Baronio","Importante non specializzata","Diocesi di Sora-Aquino-Pontecorvo",,,"Via 11 febbraio, 3",,"03039","41.7226503","13.6150142","+39 0776.831092","+39 0776.820160","biblioteca@diocesisora.191.it",
"Veroli","Frosinone","Biblioteca del Collegio dei padri redentoristi","Specializzata","Redentoristi. Collegio di Veroli",,,,"Scifelli","03029","41.7021208","13.4280586","+39 0775287002",,,
"Castrocielo","Frosinone","Biblioteca comunale","Pubblica","Comune di Castrocielo","OBR","Sistema bibliotecario Valle dei santi","Piazza S. Rocco",,"03030","41.5306693","13.6958718",,"+39 077679822","elettorale.castrocielo@tin.it",
"Piglio","Frosinone","Biblioteca comunale","Pubblica","Comune di Piglio",,,"Viale Umberto I",,"03010","41.8297686","13.1451958",,,,
"Vico nel Lazio","Frosinone","Biblioteca comunale Giuseppe Lattanzi","Pubblica","Comune di Vico nel Lazio",,,"Via Plebiscito",,"03010","41.7773514","13.3425869",,,,
"Fumone","Frosinone","Biblioteca comunale","Pubblica","Comune di Fumone",,,"Via Risorgimento 2",,"03010","41.7278917","13.2895447",,,,
"Alatri","Frosinone","Biblioteca comunale Luigi Ceci","Pubblica","Comune di Alatri","OBR","Sistema bibliotecario Valle del Sacco","Via Roma 12",,"03011","41.7270002","13.3431664","+39 0775448364","+39 0775448364","comune.alatri@libero.it","http://www.bibliotechevalledelsacco.it/biblioteche/alatri.aspx"
"Monte San Giovanni Campano","Frosinone","Biblioteca comunale Ireneo Pio Valeriani","Pubblica","Comune di Monte San Giovanni Campano",,,"Via S. Luigi",,"03025","41.6400169","13.5142264","+39 0775289541","+39 0775319175",,
"Alatri","Frosinone","Biblioteca del Convento dei cappuccini","Specializzata","Frati minori cappuccini. Convento di Alatri",,,"Salita dei cappuccini",,"03011","41.731132","13.34584","+39 0775440076",,,
"Alatri","Frosinone","Biblioteca don Giuseppe Capone","Specializzata","Diocesi di Anagni-Alatri",,,"Via Duomo, 14",,"03011","41.7254786","13.3431798","+39 0775.434628",,"beniculturali@diocesianagnialatri.it",
"Piglio","Frosinone","Biblioteca del Convento S. Lorenzo","Specializzata","Frati minori conventuali. Convento S. Lorenzo di Piglio",,,"Via S. Lorenzo 34",,"03010","41.8322031","13.1455308","+39 0775502321",,,
"Monte San Giovanni Campano","Frosinone","Biblioteca dell'Associazione culturale Colli","Pubblica","Associazione culturale Colli",,,"Via Catenella",,"03025","41.6575327","13.5147735","+39 0775866015",,"assculturalecolli@interfree.it","http://www.assculturalecolli.it"
"Alatri","Frosinone","Biblioteca del Centro studi Luigi Pietrobono","Specializzata","Centro studi Luigi Pietrobono",,,"Piazza S. Maria Maggiore 6",,"03011","41.7264389","13.3425967","+39 0775434920",,,
"Vicalvi","Frosinone","Biblioteca del Convento S. Francesco","Specializzata","Frati minori conventuali. Convento S. Francesco di Vicalvi",,,"Via S. Francesco",,"03030","41.6721713","13.7104697","+39 0776506524",,,
"Veroli","Frosinone","Biblioteca comunale","Pubblica","Comune di Veroli",,,"Piazza G. Trulli",,"03029","41.6915335","13.41636121","+39 0775230072","+39 0775230914","biblio.veroli@libero.it",
"Boville Ernica","Frosinone","Biblioteca comunale","Pubblica","Comune di Boville Ernica","OBR","Sistema bibliotecario Valle del Sacco","Corso Umberto I  2",,"03022","41.6427842","13.471622",,"+39 0775379660","bibliotecacomunale@comune.boville-ernica.fr.it","http://www.bibliotechevalledelsacco.it/biblioteche/boville-ernica.aspx"
"Arnara","Frosinone","Biblioteca comunale","Pubblica","Comune di Arnara",,,"Via dei Fossi 8",,"03020","41.5837569","13.3877014",,,,
"Arce","Frosinone","Biblioteca comunale","Pubblica","Comune di Arce",,,"Via Milite Ignoto",,"03032","41.5883265","13.5733021",,,"comunearce@interfree.it",
"Serrone","Frosinone","Biblioteca comunale","Pubblica","Comune di Serrone","OBR","Sistema bibliotecario Valle del Sacco","Via Prenestina 136","Località La Forma","03010","41.832145","13.085035",,,,
"Sant'Elia Fiumerapido","Frosinone","Biblioteca comunale","Pubblica","Comune di Sant'Elia Fiumerapido","OBR","Sistema bibliotecario Valle dei santi","ex Caserma dei carabinieri",,"03049","41.5623355","13.8564085",,,,
"Esperia","Frosinone","Biblioteca comunale","Pubblica","Comune di Esperia",,,"Scuola media statale",,"03045","41.3715744","13.6478486",,,,
"Torre Cajetani","Frosinone","Biblioteca comunale","Pubblica","Comune di Torre Cajetani",,,"ex Palazzo comunale",,"03010","41.7858583","13.2643452",,,,
"Guarcino","Frosinone","Biblioteca comunale","Pubblica","Comune di Guarcino",,,"Via Milani 1",,"03016","41.7999331","13.3155578",,,,
"Guarcino","Frosinone","Biblioteca dell'Archivio di Stato di Frosinone. Sezione di Guarcino","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Frosinone",,,"Via del Monastero 71",,"03016","41.7993273","13.312603","+39 077546595",,,
"Frosinone","Frosinone","Biblioteca Antonio Valente dell'Ordine degli architetti, pianificatori, paesaggisti e conservatori della provincia di Frosinone","Pubblica","Ordine degli architetti, pianificatori, paesaggisti e conservatori della provincia di Frosinone",,,"Piazzale De Matthaeis 41",,"03100","41.6469201","13.3487055","+39 0775873517","+39 0775270995","architettifrosinone@archiworld.it","http://www.fr.archiworld.it/index.htm"
"Anagni","Frosinone","Biblioteca Claudiana","Specializzata","Suore cistercensi della carità. Suore. Casa generalizia",,,"Palazzo Bonifacio VIII",,"03012","41.743065","13.15991","+39 0775727053",,,
"Veroli","Frosinone","Biblioteca dell'Abbazia di Casamari","Specializzata","Cistercensi di Casamari. Abbazia di Casamari",,,"Via SS. Maria","Casamari","03020","41.6714195","13.0596043","+39 0775282800",,,
"Falvaterra","Frosinone","Biblioteca del Ritiro S. Sosio martire","Specializzata","Passionisti. Ritiro S. Sosio martire di Falvaterra",,,"Passionisti S. Sosio","San Sosio","03020","41.5049141","13.5239251","+39 077590013",,,
"Ceccano","Frosinone","Biblioteca del Ritiro S. Maria di Corniano","Specializzata","Passionisti. Ritito S. Maria di Corniano di Ceccano",,,"Via Badia","Badia","03023","41.5523274","13.3302297","+39 0775629001","+39 0775629001",,
"Sora","Frosinone","Biblioteca del Ritiro S. Maria degli angeli","Specializzata","Passionisti. Ritiro S. Maria degli angeli di Sora",,,"Via passionisti 1",,"03039","41.7249965","13.6047426","+39 0776831196",,,
"Paliano","Frosinone","Biblioteca del Ritiro S. Maria di Pugliano","Specializzata","Passionisti. Ritiro S. Maria di Pugliano di Paliano",,,"Via S. Maria 69","Santa Maria","03018","41.7916601","13.0596043","+39 0775533159",,,
"Frosinone","Frosinone","Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA","Specializzata","Camera di commercio, industria, artigianato e agricoltura - CCIAA di Frosinone",,,"Via A. De Gasperi 2",,"03100","41.6369732","13.3521082","+39 07752131",,,
"Fiuggi","Frosinone","Biblioteca del Convento dei cappuccini","Specializzata","Frati minori cappuccini. Convento di Fiuggi",,,"Via dei cappuccini 14",,"03014","41.8083928","13.2104057","+39 0775504693","+39 0775504693",,
"Frosinone","Frosinone","Biblioteca del Convento Madonna della neve","Specializzata","Agostiniani scalzi. Convento Madonna della neve di Frosinone",,,"Piazza Madonna della neve 29",,"03100","41.6496938","13.3396811","+39 0775874062",,,
"Arpino","Frosinone","Biblioteca del Monastero S. Andrea apostolo","Specializzata","Benedettine. Monastero S. Andrea apostolo a Arpino",,,"Piazza S. Andrea 6",,"03033","41.6476295","13.6147303","+39 077684272","+39 077684272",,
"Cassino","Frosinone","Biblioteca della Scuola civiltà monastica dell'Università degli studi di Cassino","NON SPECIFICATA","Università degli studi di Cassino. Scuola civiltà monastica",,,,,"03043","41.4866953","13.8332193",,,,
"Ripi","Frosinone","Biblioteca comunale","NON SPECIFICATA","Comune di Ripi","OBR","Sistema bibliotecario Valle del Sacco","Piazza G. Baccelli",,"03027","41.6125484","13.42395","+39 0775254059",,"biblio.ripi@rtmol.it",
"Sgurgola","Frosinone","Biblioteca comunale","Pubblica","Comune di Sgurgola",,,"Via 2 giugno, presso Scuola Taggi",,"03010","41.670439","13.147088","+39 0775741043","+39 0775741043",,
"Frosinone","Frosinone","Biblioteca comunale Norberto Turriziani","Pubblica","Comune di Frosinone","OBR",,"Corso della Repubblica 62",,"03100","41.638189","13.3517159",,"+39 0775 265392","biblioteca@comune.frosinone.it","http://www.comune.frosinone.it/archivio12_aree-tematiche-come-fare-per_0_34_0_2.html"
"Castro dei Volsci","Frosinone","Biblioteca comunale","Pubblica","Comune di Castro dei Volsci",,,"Via delle Grotte 59",,"03020","41.5146272","13.4109023","+39 0775686007",,"biblio_castro@libero.it","http://www.bibliotechevalledelsacco.it/biblioteche.php?bibId=26"
"Cassino","Frosinone","Biblioteca del Liceo classico Giosuè Carducci","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Lombardia 1",,"03043","41.4933375","13.8301173",,,,
"Cassino","Frosinone","Biblioteca del I Circolo didattico","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via G. D'Annunzio",,"03043","41.4896286","13.8314275",,,"marjenny@tiscali.it",
"Cassino","Frosinone","Biblioteca dell'Istituto di istruzione superiore San Benedetto. Sede di Cassino","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Casilina nord",,"03043","41.4799053","13.8098974",,,"isabella.dichirico@libero.it",
"Alvito","Frosinone","Biblioteca dell'Istituto di istruzione superiore San Benedetto. Sede di Alvito","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via San Nicola 22",,"03043","41.6310034","13.7118604",,,"giuseppina.tornei@istruzione.it",
"Cassino","Frosinone","Biblioteca della Scuola media statale Gaetano Di Biasio","Pubblica","Ministero dell'istruzione, dell'Università e della ricerca",,,"Via Bellini",,"03043","41.48846","13.835779",,,"sandra.defalco@istruzione.it","http://www.officine.it/scuola/smdibiasio/"
"Cassino","Frosinone","Biblioteca del II Circolo didattico","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Herold",,"03043","41.4928703","13.8382649",,,"stefania.pinchera@istruzione.it",
"Cassino","Frosinone","Biblioteca dell'Istituto professionale per l'industria e l'artigianato A.Righi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Berlino 2",,"03043","41.4917838","13.8386059",,,"FRRI01000E@istruzione.it",
"Esperia","Frosinone","Biblioteca dell'Istituto comprensivo statale Esperia","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via San Rocco 5",,"03046","41.4546166","13.667232",,,"carmine.diprete@istruzione.it",
"Cassino","Frosinone","Biblioteca della Scuola media statale Diamare","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"via Sferracavallo 59",,"03043","41.5057531","13.8336994",,,"lucia.ferritto@libero.it","http://www.officine.it/scuola/smconte/"
"Cassino","Frosinone","Biblioteca dell'Istituto tecnico commerciale e per geometri Europa","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via S. Angelo",,"03043","41.4791247","13.8273001",,,"pinaferrari1@virgilio.it",
"Sant'Elia Fiumerapido","Frosinone","Biblioteca della Scuola media Santilli","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Quattro Novembre",,"03049","41.5623355","13.8564085",,,,"http://www.officine.it/scuola/smsantilli/"
"Cassino","Frosinone","Biblioteca dell'Istituto magistrale M.T. Varrone","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Viale Europa 28",,"03043","41.4882572","13.8394185",,,"enricolatina@tin.it","http://www.istitutovarrone.it/pages/home.aspx"
"Piedimonte San Germano","Frosinone","Biblioteca dell'Istituto comprensivo statale Piedimonte San Germano","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Milazzo 210",,"03030","41.4981468","13.7517576",,,"liliana.castelli@istruzione.it",
"San Giorgio a Liri","Frosinone","Biblioteca dell'Istituto comprensivo statale San Giorgio a Liri","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Garibaldi",,"03043","41.4050728","13.7655903",,,"giannina.farina@istruzione.it",
"Cassino","Frosinone","Biblioteca del Liceo scientifico Gioacchino Pellecchia","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Virgilio 29",,"03043","41.4868695","13.8300726",,,"aldonardmat@libero.it","http://www.officine.it/scuola/lspellecchia/index.html"
"Alatri","Frosinone","Biblioteca dell'Istituto comprensivo Egnazio Danti","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Italia 15",,"03010","41.6888722","13.3496634","+39 0775408632",,"archiloco2002@libero.it",
"Sora","Frosinone","Biblioteca dell'Istituto tecnico commerciale Baronio","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Ariosto 1",,"03039","41.7156138","13.6064429","+39 0776831990",,"paola.ciccolini@libero.it",
"Frosinone","Frosinone","Biblioteca della Scuola elementare Amedeo Maiuri","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Tevere 72",,"03100","41.6417348","13.3420699","+39 0775852113",,"groser@libero.it",
"Torrice","Frosinone","Biblioteca dell'Istituto comprensivo G. Marini","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Umberto Primo",,"03020","41.6314838","13.3970887","+39 0775300026",,"flora.pantano@istruzione.ir",
"Veroli","Frosinone","Biblioteca del Liceo scientifico Sulpicio","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Piazzale Vittorio Veneto",,"03029","41.6931393","13.4202778","+39 0775237087",,"paolasaccoccia@alice.it",
"Amaseno","Frosinone","Biblioteca comunale","NON SPECIFICATA",,,,"Via Prati, snc",,"03021","41.468538","13.334953","+39 0775658256","+39 0775658188","biblioamaseno@email.it",
"Anagni","Frosinone","Biblioteca del Centro di ricerca e documentazione il Pepeverde","NON SPECIFICATA",,,,"Via Garibaldi, 21",,"03012","41.7420292","13.1563853","+39 0775730489","+39 0775779049","info@ilpepeverde.it",
"Anagni","Frosinone","Biblioteca del Convitto Principe di Piemonte","NON SPECIFICATA",,,,"Viale G. Matteotti, 1",,"03012","41.7528669","13.1490008","+39 077573491","+39 0775728534","vpalmieri@inpdap.it",
"Sant'Ambrogio sul Garigliano","Frosinone","Biblioteca comunale","NON SPECIFICATA","Comune di Sant'Ambrogio sul Garigliano","OBR","Sistema bibliotecario Valle dei santi","Via Roma 42",,"03040","41.3905553","13.869122","+39 077698285",,"biblioteca.roccia@libero.it",
